cik_str,Scandal Year,Ticker,Company Name,Anomaly Ticker,Detail
312070,2012,JJNTF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,JJOFF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,JJPFF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,JJSSF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,ICITF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,JEMTF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,JJATF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,JJCTF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,JJETF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,DJP,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,GBBEF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,GRN,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
312070,2012,GRNTF,BARCLAYS BANK PLC,BARC,Interest Rate Manipulation (Libor Rate-Manipulation)
1119639,2014,PBR,PETROBRAS - PETROLEO BRASILEIRO SA,PBR,Financial Misrepresentaion
1119639,2014,PBR-A,PETROBRAS - PETROLEO BRASILEIRO SA,PBR,Financial Misrepresentaion
96223,2005,JEF,Jefferies Financial Group Inc.,LUK,Financial Misconduct (Refco Brokerage Fraud Involvement)
18926,2002,LUMN,"Lumen Technologies, Inc.",CTL,Corporate Rebranding (Formerly CenturyLink)
47217,2012,HPQ,HP INC,HPQ,Acquisition Misconduct (Autonomy Valuation Dispute)
1490281,2012,GRPN,"Groupon, Inc.",GRPN,Accounting Irregularities (Post-IPO Misstatements)
1119639,2014,PBR,PETROBRAS - PETROLEO BRASILEIRO SA,PETR4.SA,Corruption Scandal (Operation Car Wash)
1119639,2014,PBR-A,PETROBRAS - PETROLEO BRASILEIRO SA,PETR4.SA,Corruption Scandal (Operation Car Wash)
1767582,2020,LKNCY,Luckin Coffee Inc.,LKI,Financial Fraud (Revenue Overstatement)
1467858,2014,GM,General Motors Co,GM,Product Safety Failure (Ignition Switch Scandal)
789019,2001,MSFT,MICROSOFT CORP,MSFT,Accounting Investigations (Financial Practices Scrutiny)
27419,2008,TGT,TARGET CORP,TGT,Data Breach (Security Compromise)
833444,2005,JCI,Johnson Controls International plc,JCI,Bribery Scandal (Illegal Payments Investigation)
354950,2010,HD,"HOME DEPOT, INC.",HD,Data Breach (Security Incident)
1300514,2013,LVS,LAS VEGAS SANDS CORP,LVS,Money Laundering (Financial Regulations Violation)
320193,2014,AAPL,Apple Inc.,AAPL,Antitrust Investigations (Competition Law Scrutiny)
70858,2008,BAC,BANK OF AMERICA CORP /DE/,BAC,Mortgage Fraud (Subprime Crisis Involvement and Legal Settlements)
70858,2008,BML-PG,BANK OF AMERICA CORP /DE/,BAC,Mortgage Fraud (Subprime Crisis Involvement and Legal Settlements)
70858,2008,BML-PH,BANK OF AMERICA CORP /DE/,BAC,Mortgage Fraud (Subprime Crisis Involvement and Legal Settlements)
70858,2008,BAC-PE,BANK OF AMERICA CORP /DE/,BAC,Mortgage Fraud (Subprime Crisis Involvement and Legal Settlements)
70858,2008,BML-PJ,BANK OF AMERICA CORP /DE/,BAC,Mortgage Fraud (Subprime Crisis Involvement and Legal Settlements)
70858,2008,BML-PL,BANK OF AMERICA CORP /DE/,BAC,Mortgage Fraud (Subprime Crisis Involvement and Legal Settlements)
70858,2008,BAC-PB,BANK OF AMERICA CORP /DE/,BAC,Mortgage Fraud (Subprime Crisis Involvement and Legal Settlements)
70858,2008,BAC-PK,BANK OF AMERICA CORP /DE/,BAC,Mortgage Fraud (Subprime Crisis Involvement and Legal Settlements)
70858,2008,BAC-PL,BANK OF AMERICA CORP /DE/,BAC,Mortgage Fraud (Subprime Crisis Involvement and Legal Settlements)
70858,2008,BAC-PM,BANK OF AMERICA CORP /DE/,BAC,Mortgage Fraud (Subprime Crisis Involvement and Legal Settlements)
70858,2008,BAC-PN,BANK OF AMERICA CORP /DE/,BAC,Mortgage Fraud (Subprime Crisis Involvement and Legal Settlements)
70858,2008,BAC-PO,BANK OF AMERICA CORP /DE/,BAC,Mortgage Fraud (Subprime Crisis Involvement and Legal Settlements)
70858,2008,BAC-PP,BANK OF AMERICA CORP /DE/,BAC,Mortgage Fraud (Subprime Crisis Involvement and Legal Settlements)
70858,2008,MER-PK,BANK OF AMERICA CORP /DE/,BAC,Mortgage Fraud (Subprime Crisis Involvement and Legal Settlements)
70858,2008,BAC-PQ,BANK OF AMERICA CORP /DE/,BAC,Mortgage Fraud (Subprime Crisis Involvement and Legal Settlements)
70858,2008,BAC-PS,BANK OF AMERICA CORP /DE/,BAC,Mortgage Fraud (Subprime Crisis Involvement and Legal Settlements)
70858,2008,BACRP,BANK OF AMERICA CORP /DE/,BAC,Mortgage Fraud (Subprime Crisis Involvement and Legal Settlements)
1318605,2018,TSLA,"Tesla, Inc.",TSLA,Securities Fraud (Misleading Communications via Social Media)
1018724,2020,AMZN,AMAZON COM INC,AMZN,Price Gouging Investigations (COVID-19 Essential Goods)
1652044,2019,GOOGL,Alphabet Inc.,GOOG,Antitrust Investigations (Market Dominance and Exclusionary Practices)
1652044,2019,GOOG,Alphabet Inc.,GOOG,Antitrust Investigations (Market Dominance and Exclusionary Practices)
