cluster_6,cluster_10,cluster_15,cluster_14,cluster_4,cluster_2,cluster_17,cluster_8,cluster_12,cluster_3,cluster_9,cluster_5,cluster_1,cluster_13,cluster_0,cluster_11,cluster_7,cluster_16,anomaly
-0.8425248361289122,0.6580856693152957,0.0,-0.2575512817731525,0.0,0.0710083691919549,-1.0877928731169622,0.0,,,0.0,0.0,0.0,0.15562059755942842,0.0,0.06442314714724041,1.1773941285217233,-1.5351260141518857,0
1.327124614899501,0.18392491986576137,0.0,0.5942040555968263,0.0,3.1890051504620263,3.2587309991343383,0.0,-0.27678735834634327,2.16680908991355,0.0,0.17209759072435674,0.0,1.272071880276556,0.0,2.93236813150102,0.0,3.2999857093853637,0
,1.9642001620635534,0.0,1.7432812763623922,0.0,,4.212269273430151,0.0,,1.1454611531716847,0.0,1.466267509325749,0.0,0.0,0.5786544406696122,,1.9931733949196873,,1
,2.688853137454001,0.0,,0.0,,2.0412334437260045,0.0,-1.9870670697410995,3.576742318761945,-0.014117506786097194,-1.1459502903243632,0.0,-0.6423887175741748,-1.5112438958758412,0.015001543293677082,0.0,,0
0.10806629642816873,0.12512870235542492,0.0,0.29998332174315007,0.0,0.17065914486925643,1.6870514090390067,0.0,0.34099993689680624,1.3064634402293422,0.0,0.0,0.5689884725255483,0.09717704877011552,0.0,0.5452161884745715,0.5960723494358334,,0
-0.054698065798446195,-2.5707825652239498,0.0,-0.11077521938472965,0.0,-0.3174605421690084,,0.0,-0.2905949062186722,-0.5136430942976709,0.0,-0.1764413946341759,-0.010716007420333943,-0.33465764903152795,0.0,-0.3294201120286645,0.0,1.4392468881630442,0
,1.4110830858616663,0.0,,0.0,,2.400192686199518,0.0,1.2448743968096516,,0.0,0.6875504154718219,0.0,0.37117603462953214,-1.5112438958758412,1.43450487791015,0.0,2.0583374649878445,0
0.0,0.38477258474265247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
,4.0372061175777585,0.0,0.9662760518527611,0.0,0.5561291088369525,2.8272644681648744,0.0,,2.6478620848016177,0.0,-1.1459502903243632,1.1089188779440298,1.4905509328253097,0.0,2.495061645254967,0.0,,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22145147854561414,0.0,0.0,0.0,0.3067285416587641,0.0,0.0,0.0,0.0,0
2.7978068807365406,4.0372061175777585,0.0,0.9662760518527611,0.0,0.5561291088369525,2.8272644681648744,0.0,,2.9141930769670514,0.0,0.4788081270248742,1.1089188779440298,1.4905509328253097,0.0,2.495061645254967,0.0,,0
1.4531566634023088,1.8687468749563851,0.0,-1.1843894025585884,0.0,1.8362985071187548,3.225316324292328,0.0,2.2785565746781242,0.9845625587950532,0.0,0.0,0.0,0.9264966862698092,0.0,2.777444111410165,0.0,2.27188050421631,0
