Assets,EarningsPerShareBasic,NetIncomeLoss,RetainedEarningsAccumulatedDeficit,StockholdersEquity,anomaly
0.0,-2.2310862421968904,0.0,0.0,0.0,1
-0.9435086169975303,-1.9990080624743587,-1.2392484658461664,-0.20592761551661548,-0.20842855254254264,0
0.0,0.0,-1.179426611864391,0.0,0.0,0
-1.3183686585172922,-0.44142604804129965,-1.1773561083020556,-1.3032321940000378,-1.5141195436605182,0
0.0,-1.411212418832919,0.0,0.0,0.0,0
-1.1027890784149723,-0.9668148207222359,0.0,-0.7534551194949208,0.0,0
-1.2760693371360379,-0.8629325486702099,-1.0454004706082645,-1.1573371773534646,-1.386695032557119,0
0.0,-1.5414515686946966,-1.1396582694600925,0.0,0.0,0
-1.2540091645912843,-0.8551801851619656,-0.7994830872267252,-1.3390653983809968,-1.3664792574283566,0
1.1376076733385267,-0.8474604632462995,0.841101087765646,0.996649042608255,1.6939937980543964,0
0.0,-1.3697771958673213,-0.0454168645403133,0.0,0.0,0
0.0,-1.076938465074065,0.7831708863556456,0.0,0.0,0
0.0,-1.139094619299128,0.0,0.0,0.0,0
0.0,-1.6337191015703703,-1.069301844108703,0.0,0.0,0
-1.1756819875329794,-0.5106203581971424,-0.8346866269421521,-0.944731853382013,-1.0081841380096905,0
